Live Chess,Chess.com,2021.07.07,21chenhen,franzmadrid,1/2-1/2,889,878,A01,A01,Game drawn by insufficient material,"['b2b3', 'e7e5', 'c1b2', 'b8c6', 'e2e3', 'd7d5', 'f1b5', 'f8d6', 'f2f4', 'a7a6', 'f4e5', 'a6b5', 'e5d6', 'd8d6', 'b2g7', 'd6g6', 'g7h8', 'g6g2', 'd1f3', 'g2f3', 'g1f3', 'g8e7', 'b1c3', 'c8g4', 'f3e5', 'c6e5', 'h8e5', 'e8c8', 'c3b5', 'c7c6', 'b5a7', 'c8d7', 'h1g1', 'd8g8', 'h2h3', 'g4h3', 'g1g8', 'e7g8', 'e1c1', 'd7e6', 'e5d4', 'h3g4', 'd1g1', 'g8h6', 'g1h1', 'h6f5', 'h1h7', 'f5g3', 'h7g7', 'f7f5', 'a7c8', 'g3e2', 'c1b2', 'e2d4', 'e3d4', 'e6f6', 'g7b7', 'f5f4', 'c8d6', 'f4f3', 'c2c4', 'f6e6', 'b7g7', 'g4h3', 'g7g3', 'h3g2', 'g3f3', 'g2f3', 'c4d5', 'e6d6', 'a2a4', 'f3d5', 'b2a3', 'd6c7', 'a3b4', 'c7b6', 'a4a5', 'b6a6', 'b4a4', 'd5f3', 'a4b4', 'f3e2', 'b4c5', 'e2b5', 'd4d5', 'c6d5', 'c5d5', 'a6a5', 'd2d3', 'b5d3', 'd5d4', 'a5b4', 'd4d3', 'b4b3']",
Live Chess,Chess.com,2021.06.26,ptjk7,21chenhen,1-0,1309,1269,B20,B20,ptjk7 won by checkmate,"['e2e4', 'c7c5', 'f1c4', 'd7d6', 'h2h3', 'g8f6', 'b1c3', 'b8c6', 'g1f3', 'g7g6', 'd2d4', 'c5d4', 'f3d4', 'c6d4', 'd1d4', 'f8g7', 'c3d5', 'e8g8', 'c1g5', 'e7e5', 'd5f6', 'g7f6', 'g5f6', 'd8f6', 'd4d1', 'c8e6', 'c4d5', 'a8c8', 'e1g1', 'c8c5', 'd5b3', 'e6b3', 'a2b3', 'a7a6', 'd1e2', 'f8c8', 'c2c4', 'f6e6', 'e2f3', 'b7b5', 'a1a6', 'b5c4', 'b3b4', 'c5b5', 'f3e2', 'b5b4', 'f1c1', 'd6d5', 'a6e6', 'f7e6', 'e4d5', 'e6d5', 'e2e5', 'b4b2', 'e5e6', 'g8g7', 'e6c8', 'g7h6', 'c8g4', 'c4c3', 'c1c3', 'd5d4', 'g4d4', 'b2f2', 'd4e3', 'g6g5', 'e3f2', 'g5g4', 'c3c6', 'h6h5', 'f2f5', 'h5h4', 'f5g4']",
Live Chess,Chess.com,2021.02.04,phelinit,21chenhen,0-1,1189,1187,B50,B50,21chenhen won by resignation,"['e2e4', 'c7c5', 'g1f3', 'd7d6', 'f1c4', 'b8c6', 'f3g5', 'g8h6', 'd1f3', 'f7f6', 'g5e6', 'c8e6', 'c4e6', 'c6d4', 'f3d3', 'd4e6', 'd3d5', 'e6g5', 'd5b7', 'g7g6', 'd2d3', 'f8g7', 'b7c6', 'e8f7', 'c1g5', 'f6g5', 'c6d5', 'e7e6', 'd5c4', 'g7b2']",
Live Chess,Chess.com,2021.03.11,bencekurucz,21chenhen,1-0,1238,1228,B53,B53,bencekurucz won by resignation,"['e2e4', 'c7c5', 'g1f3', 'd7d6', 'd2d4', 'c5d4', 'd1d4', 'b8c6', 'f1b5', 'c8d7', 'b5c6', 'd7c6', 'c2c4', 'g8f6', 'e4e5', 'f6d7', 'e5d6', 'e7d6', 'b1c3', 'f8e7', 'd4g7', 'e7f6', 'g7h6', 'd8e7', 'e1f1', 'e8c8', 'c1g5', 'f6g5', 'f3g5', 'd8g8', 'h2h4', 'f7f6', 'a1e1', 'e7g7', 'h6g7', 'g8g7', 'g5e6', 'c6g2', 'f1g1', 'g2h3', 'e6g7', 'h8g8', 'h1h3', 'g8g7', 'h3g3', 'g7g3', 'f2g3', 'h7h5', 'c3d5']",
Live Chess,Chess.com,2021.02.21,21chenhen,Stinr,1-0,1221,1252,A01,A01,21chenhen won by checkmate,"['b2b3', 'd7d5', 'c1b2', 'b8c6', 'e2e3', 'e7e5', 'f2f4', 'f7f6', 'g1f3', 'c8g4', 'f1e2', 'f8b4', 'f4e5', 'g4f3', 'e2f3', 'f6e5', 'f3d5', 'd8d5', 'd1g4', 'd5f7', 'b2e5', 'c6e5', 'g4b4', 'e8c8', 'b1c3', 'c7c6', 'h1f1', 'f7g6', 'e1c1', 'g8e7', 'd2d4', 'e5g4', 'f1f3', 'h8e8', 'f3g3', 'h7h5', 'h2h3', 'e7f5', 'g3f3', 'g4e3', 'd1e1', 'g6g2', 'e1e3', 'g2h1', 'c1b2', 'f5e3', 'f3f7', 'g7g5', 'b4b7']",
Live Chess,Chess.com,2021.02.25,21chenhen,peterchero,0-1,1255,1089,A01,A01,peterchero won on time,"['b2b3', 'b7b6', 'c1b2', 'c8b7', 'e2e3', 'b8c6', 'f2f4', 'd7d5', 'g1f3', 'd8d6', 'd2d3', 'e8c8', 'f3g5', 'd6g6', 'b1d2', 'e7e5', 'd1g4', 'c8b8', 'f4e5', 'f7f5', 'g4f4', 'f8e7', 'h2h4', 'c6b4', 'e1c1', 'b4a2', 'c1b1', 'a2b4', 'e3e4', 'd5e4', 'd3e4', 'f5e4', 'f1e2', 'b6b5', 'd2e4', 'd8d1', 'h1d1', 'g6a6', 'e4c3', 'g8h6', 'e2b5', 'a6a5', 'd1d7', 'h8f8', 'f4f8', 'e7f8', 'd7d8', 'b7c8', 'd8f8', 'h6g4', 'b5c6', 'g4e5', 'f8e8', 'e5c6', 'g5e6', 'b8b7', 'e6g7', 'c6d4', 'g2g4', 'b4c2', 'g4g5', 'c2a3', 'b2a3', 'a5a3', 'h4h5', 'c8f5', 'c3e4', 'f5e4', 'e8e4', 'd4e2', 'b1c2', 'a3c5', 'c2d3', 'c5d6', 'd3e3', 'e2c3', 'e3f3', 'c3e4', 'f3e4', 'd6c6', 'e4f5', 'c6c5']",
Live Chess,Chess.com,2021.05.10,luizfelipes1,21chenhen,1-0,867,803,B23,B23,luizfelipes1 won on time,"['e2e4', 'c7c5', 'b1c3', 'd7d6', 'g1f3', 'b8c6', 'f1c4', 'g8f6', 'd2d3', 'g7g6', 'c1g5', 'f8g7', 'e1g1', 'e8g8', 'h2h3', 'c8e6', 'c3d5', 'e6d5', 'e4d5', 'c6d4', 'c2c3', 'd4f3', 'd1f3', 'e7e6', 'f1e1', 'f8e8', 'e1e2', 'd8d7', 'd5e6', 'e8e6', 'e2e6', 'f7e6', 'a1e1', 'f6h5', 'c4e6', 'd7e6', 'e1e6', 'g8h8', 'f3b7', 'a8f8', 'b7a7', 'h5f4', 'e6d6', 'f4e2', 'g1f1', 'e2f4', 'g5f4', 'f8f4', 'd6d8', 'f4f8', 'd8f8', 'g7f8', 'a7c5', 'f8c5', 'c3c4', 'h8g7', 'f1e2', 'c5d6', 'f2f3', 'g7f6', 'g2g4', 'f6e5', 'b2b3', 'e5f4', 'a2a4', 'f4g3', 'e2e3', 'g3h3', 'e3e4', 'h3g3', 'e4d5', 'd6e7', 'c4c5', 'e7f8', 'd3d4', 'g3f3', 'b3b4', 'f3g4', 'a4a5']",
Live Chess,Chess.com,2021.07.09,21chenhen,WinOrLooseILoveYou,1-0,837,835,A01,A01,21chenhen won on time,"['b2b3', 'd7d5', 'c1b2', 'd5d4', 'e2e3', 'e7e5', 'e3d4', 'e5d4', 'g1f3', 'b8c6', 'f1c4', 'd8e7', 'd1e2', 'e7e2', 'c4e2', 'f8c5', 'e1g1', 'c6b4', 'f3d4', 'c5d4', 'b2d4', 'b4c2', 'd4g7', 'c2a1', 'g7h8', 'f7f6', 'e2h5', 'e8e7', 'f1e1', 'e7d6', 'b1c3', 'a1c2', 'e1c1', 'c2d4', 'c1e1', 'c8f5', 'c3a4', 'd4c2', 'e1e3', 'c2e3', 'd2e3', 'f5d3', 'a4c3', 'c7c6', 'f2f3', 'a8e8', 'c3e4', 'e8e4', 'f3e4', 'd3e4', 'g2g3', 'd6e6', 'g1f2', 'g8e7', 'f2e2', 'e7f5', 'h5g4', 'e4c2', 'h2h4', 'e6e5', 'g4f5', 'e5f5', 'e2f3', 'c2b1', 'g3g4', 'f5e5', 'g4g5', 'b1a2', 'h8f6', 'e5f5', 'h4h5', 'a2b3', 'h5h6', 'b3f7', 'f3g3', 'f7g6', 'g3f2', 'a7a5', 'e3e4', 'f5e4', 'f6g7', 'a5a4', 'f2e2']",
Live Chess,Chess.com,2023.07.20,21chenhen,Georgechess321,1-0,1489,1490,A01,A01,21chenhen won by resignation,"['b2b3', 'e7e5', 'c1b2', 'b8c6', 'e2e3', 'f8c5', 'f1b5', 'd7d6', 'f2f4', 'e5f4', 'b2g7', 'd8h4', 'e1f1', 'f4e3', 'd2e3', 'c5e3', 'd1e2', 'h4f4', 'e2f3', 'f4g5', 'b5c6', 'b7c6', 'g7h8', 'c8g4', 'f3e4', 'e8d7', 'g1f3', 'g8f6', 'f3g5', 'f6e4', 'g5e4', 'a8h8', 'b1c3', 'e3d4', 'h2h3', 'g4f5', 'a1d1', 'c6c5', 'g2g4', 'f5g6', 'g4g5', 'd6d5', 'e4f6', 'd7e6', 'c3d5', 'c7c6', 'd5f4', 'e6d6', 'f4g6', 'h7g6', 'f1g2']",
Live Chess,Chess.com,2021.02.01,harshal_09,21chenhen,1-0,1077,1072,B21,B21,harshal_09 won by checkmate,"['e2e4', 'c7c5', 'd2d4', 'c5d4', 'd1d4', 'b8c6', 'd4c3', 'g8f6', 'f1d3', 'g7g6', 'g1f3', 'f8g7', 'e1g1', 'e8g8', 'd3c4', 'f6e4', 'c3b3', 'c6a5', 'b3b4', 'a5c4', 'b4c4', 'd7d5', 'c4b3', 'c8f5', 'b1c3', 'd8c7', 'c3d5', 'c7d6', 'c1f4', 'd6e6', 'b3b7', 'f8d8', 'd5c7', 'a8b8', 'b7a7', 'e6c4', 'c7e6', 'f5e6', 'f4b8', 'e6g4', 'a1d1', 'd8d1', 'f1d1', 'g7f6', 'g2g3', 'g4f3', 'd1d8', 'g8g7', 'a7e3', 'c4b4', 'b2b3', 'f3g4', 'b8f4', 'e4d6', 'f4h6']",
