Event,Site,Date,White,Black,Result,WhiteElo,BlackElo,ECO,Opening,Termination
Rated bullet game,https://lichess.org/7vVXt10w,2024.01.29,patricio_salas_l,peterchero,1-0,1288,1343,C42,,Normal
Rated bullet game,https://lichess.org/Y42HxAbK,2024.01.29,Ekanth,peterchero,1-0,1391,1343,D77,,Normal
Rated bullet game,https://lichess.org/k5byKahW,2024.01.29,mani_pulation,peterchero,1-0,1350,1350,D00,,Time forfeit
Rated bullet game,https://lichess.org/gmFxXf1y,2024.01.28,Micaelavallejom,peterchero,0-1,1289,1330,C42,,Normal
Rated bullet game,https://lichess.org/3lR49rn5,2024.01.28,tagisadegian,peterchero,1-0,1250,1333,C24,,Normal
Rated bullet game,https://lichess.org/hysqnWwL,2024.01.28,OscarMcSADRANI,peterchero,1/2-1/2,1360,1332,D00,,Normal
Casual rapid game,https://lichess.org/n1y4oCGD,2024.10.06,Ezila,peterchero,0-1,1500,1507,C20,,Normal
Rated blitz game,https://lichess.org/rFoI12EK,2024.01.28,Sicilycartman,peterchero,0-1,1269,1298,D00,,Normal
Rated bullet game,https://lichess.org/dL8eTZae,2024.01.27,Thorstein47,peterchero,0-1,1326,1316,D00,,Time forfeit
Rated bullet game,https://lichess.org/xScB38Fe,2024.01.27,kinqcl,peterchero,0-1,1329,1308,C43,,Time forfeit
Rated bullet game,https://lichess.org/llosIasU,2024.01.26,Shorly,peterchero,0-1,1316,1308,C45,,Time forfeit
Rated bullet game,https://lichess.org/u2yAwEJ0,2024.01.25,Yolenzo,peterchero,0-1,1220,1301,D00,,Time forfeit
Rated blitz game,https://lichess.org/sX1apc48,2024.01.25,yardslav,peterchero,0-1,1294,1286,C20,,Normal
Rated blitz game,https://lichess.org/cR7TJqZH,2024.01.23,fodroczysz,peterchero,0-1,1274,1270,A00,,Normal
Rated blitz game,https://lichess.org/4RgUV6HB,2024.01.21,golfkilo,peterchero,0-1,1251,1240,C47,,Time forfeit
Rated blitz game,https://lichess.org/YLeQ5bHd,2024.01.21,DZONI97,peterchero,0-1,1138,1246,C20,,Normal
Rated blitz game,https://lichess.org/inXFmtvM,2024.01.21,Sanzhar_Saktagan2015,peterchero,1-0,1275,1275,C42,,Normal
Casual classical game,https://lichess.org/OhwfUKdv,2024.10.03,NikoDuJ,peterchero,1-0,1500,1500,D02,,Normal
Rated bullet game,https://lichess.org/wSs0iu0t,2024.01.20,Adityaaaaaaaa99,peterchero,0-1,1338,1292,D00,,Time forfeit
Rated bullet game,https://lichess.org/p4k1UdXP,2024.01.20,AddssFk,peterchero,0-1,1226,1274,C21,,Normal
Rated bullet game,https://lichess.org/3nKuQWFs,2024.01.20,Safru,peterchero,1-0,1257,1282,D00,,Time forfeit
Rated bullet game,https://lichess.org/VKEpRCDh,2024.01.20,BoredMater,peterchero,1-0,1285,1282,C42,,Normal
Rated bullet game,https://lichess.org/7rkRGcjM,2024.01.20,Salah_Eddine_Ouliou,peterchero,1/2-1/2,1194,1284,D06,,Normal
Rated bullet game,https://lichess.org/cOqQwWHu,2024.01.19,infknighty,peterchero,0-1,1365,1257,D23,,Normal
Rated blitz game,https://lichess.org/MCQsqMCN,2024.01.17,Stjolse,peterchero,0-1,1298,1273,C42,,Normal
Rated bullet game,https://lichess.org/rsaJZCCt,2024.01.17,vvvvv_desikeych,peterchero,1-0,1292,1279,C50,,Normal
Rated blitz game,https://lichess.org/MsUNohXh,2024.01.16,egevka,peterchero,0-1,1236,1256,A00,,Normal
Rated blitz game,https://lichess.org/jtLYUWa4,2024.01.16,Bilal8585,peterchero,0-1,1272,1225,A00,,Time forfeit
Casual bullet game,https://lichess.org/ATVg7PZs,2024.10.02,Bearchess22,peterchero,1-0,1470,1400,C23,,Normal
Rated bullet game,https://lichess.org/WbYGfwHZ,2024.01.15,cominotto,peterchero,0-1,1207,1257,C25,,Time forfeit
Rated bullet game,https://lichess.org/lpqfbjRw,2024.01.15,Hallome1nelieben,peterchero,0-1,1181,1246,A00,,Normal
Rated bullet game,https://lichess.org/xEGf6cM1,2024.01.14,vicpas,peterchero,0-1,1224,1234,C02,,Time forfeit
Rated bullet game,https://lichess.org/PvoZQnqc,2024.01.13,Joe3muko,peterchero,1-0,1224,1237,C24,,Time forfeit
Rated bullet game,https://lichess.org/cL6xT922,2024.01.11,Ahmedelmorsy00,peterchero,1-0,1247,1236,A01,,Normal
Rated bullet game,https://lichess.org/HOku2nRR,2024.01.11,tittiestaddies,peterchero,1-0,1181,1286,D00,,Normal
Rated bullet game,https://lichess.org/7mZmrK0D,2024.01.10,Pepe729,peterchero,0-1,1292,1252,D00,,Normal
Rated bullet game,https://lichess.org/dvMmz5Fd,2024.01.10,tarheel1,peterchero,1-0,1241,1256,C42,,Time forfeit
Rated bullet game,https://lichess.org/85Xzi200,2024.01.10,noviceplayer1234,peterchero,1-0,1286,1228,C20,,Time forfeit
Rated bullet game,https://lichess.org/xkKgf832,2024.01.10,Awing-Aj,peterchero,0-1,1148,1208,C42,,Time forfeit
Casual bullet game,https://lichess.org/8F8Zzmv3,2024.10.02,Bearchess22,peterchero,1-0,1470,1400,C50,,Normal
Rated bullet game,https://lichess.org/2jMoBws9,2024.01.10,Rocinante_m,peterchero,0-1,1171,1208,C34,,Time forfeit
Rated bullet game,https://lichess.org/CaKOs88x,2024.01.10,Mamank_Gaming,peterchero,1-0,1279,1270,C44,,Normal
Rated blitz game,https://lichess.org/OyB7ForB,2023.12.24,knockturn,peterchero,0-1,1205,1201,D00,,Normal
Rated blitz game,https://lichess.org/sBcRc9vg,2023.12.24,samnosus,peterchero,1-0,1260,1223,D06,,Normal
Rated blitz game,https://lichess.org/T7xhLtsr,2023.12.24,Ega23,peterchero,1-0,1191,1257,C47,,Normal
Rated blitz game,https://lichess.org/tDQPlA5v,2023.12.24,EvgenPPPP,peterchero,0-1,1130,1232,C50,,Normal
Casual blitz game,https://lichess.org/H4H7zY9X,2023.11.20,Vilapa207,peterchero,0-1,1242,1232,D04,,Normal
Casual rapid game,https://lichess.org/VFtCdf91,2023.11.20,chessbudy1,peterchero,0-1,1239,1504,D20,,Normal
Casual rapid game,https://lichess.org/8dMjhiJm,2023.11.17,albiroitour,peterchero,1-0,1464,1504,D00,,Normal
Casual blitz game,https://lichess.org/4eUfeMb3,2023.11.15,Lerroy__08,peterchero,0-1,1277,1232,A00,,Normal
Casual bullet game,https://lichess.org/UHwUfEaR,2024.10.02,Bearchess22,peterchero,1-0,1470,1400,C50,,Normal
